gender,name,frequency
F,Emma,18826
F,Isabella,18626
F,Emily,17444
F,Olivia,17087
F,Ava,17049
F,Madison,17046
F,Sophia,16090
F,Abigail,15085
F,Elizabeth,12025
F,Chloe,11833
F,Samantha,11189
F,Addison,10765
F,Natalie,10201
F,Mia,10171
F,Alexis,9733
F,Alyssa,9650
F,Hannah,9572
F,Ashley,9407
F,Ella,9359
F,Sarah,9051
F,Grace,9041
F,Taylor,8344
F,Brianna,8273
F,Lily,8126
F,Hailey,7870
F,Anna,7276
F,Victoria,7125
F,Kayla,6834
F,Lillian,6816
F,Lauren,6454
F,Kaylee,6301
F,Allison,6241
F,Savannah,6130
F,Nevaeh,6110
F,Gabriella,6037
F,Sofia,5985
F,Makayla,5956
F,Avery,5829
F,Riley,5773
F,Leah,5633
F,Julia,5618
F,Aubrey,5569
F,Jasmine,5534
F,Audrey,5443
F,Katherine,5350
F,Morgan,5334
F,Destiny,5316
F,Brooklyn,5314
F,Sydney,5263
F,Alexa,5226
F,Kylie,5194
F,Brooke,5186
F,Kaitlyn,5117
F,Evelyn,5100
F,Layla,4930
F,Madeline,4819
F,Kimberly,4813
F,Zoe,4781
F,Jessica,4737
F,Peyton,4736
F,Alexandra,4611
F,Claire,4601
F,Maria,4590
F,Madelyn,4566
F,Mackenzie,4474
F,Arianna,4426
F,Jocelyn,4371
F,Amelia,4351
F,Angelina,4299
F,Trinity,4277
F,Maya,4269
F,Andrea,4263
F,Valeria,4206
F,Rachel,4084
F,Sophie,4065
F,Aaliyah,4044
F,Mariah,4039
F,Vanessa,4032
F,Gabrielle,4026
F,Katelyn,3975
F,Ariana,3914
F,Bailey,3906
F,Camila,3847
F,Jennifer,3795
F,Melanie,3714
F,Charlotte,3671
F,Gianna,3669
F,Autumn,3667
F,Paige,3644
F,Faith,3634
F,Payton,3611
F,Sara,3595
F,Isabelle,3572
F,Caroline,3543
F,Genesis,3523
F,Mary,3513
F,Isabel,3489
F,Zoey,3449
F,Gracie,3426
F,Megan,3416
F,Michelle,3342
F,Haley,3341
F,Mya,3339
F,Molly,3321
F,Stephanie,3320
F,Nicole,3289
F,Natalia,3242
F,Jenna,3241
F,Sadie,3163
F,Jada,3159
F,Serenity,3119
F,Lucy,3073
F,Ruby,3020
F,Eva,2971
F,Kennedy,2953
F,Rylee,2936
F,Jayla,2927
F,Rebecca,2918
F,Naomi,2917
F,Lydia,2873
F,Daniela,2797
F,Bella,2789
F,Keira,2736
F,Adriana,2728
F,Lilly,2693
F,Katie,2680
F,Hayden,2662
F,Jordan,2652
F,Miley,2651
F,Jade,2646
F,Gabriela,2616
F,Amy,2541
F,Angela,2540
F,Melissa,2517
F,Valerie,2505
F,Giselle,2489
F,Amanda,2448
F,Diana,2444
F,Kate,2421
F,Laila,2412
F,Danielle,2396
F,Reagan,2385
F,Kylee,2384
F,Jordyn,2375
F,Marley,2358
F,Briana,2355
F,Leslie,2325
F,Catherine,2323
F,Kendall,2309
F,Liliana,2296
F,Mckenzie,2288
F,Jacqueline,2264
F,Ashlyn,2263
F,Reese,2238
F,Marissa,2174
F,London,2159
F,Juliana,2150
F,Shelby,2147
F,Angel,2124
F,Cheyenne,2111
F,Daisy,2074
F,Makenzie,2066
F,Miranda,2066
F,Erin,2064
F,Amber,2062
F,Alana,2037
F,Ellie,1996
F,Breanna,1977
F,Summer,1956
F,Ana,1955
F,Mikayla,1940
F,Piper,1913
F,Adrianna,1906
F,Jillian,1904
F,Sierra,1902
F,Jayden,1889
F,Alicia,1865
F,Margaret,1864
F,Sienna,1860
F,Lila,1851
F,Alivia,1832
F,Violet,1830
F,Brooklynn,1829
F,Stella,1824
F,Aniyah,1823
F,Sabrina,1823
F,Karen,1816
F,Annabelle,1812
F,Alexandria,1793
F,Kathryn,1782
F,Aliyah,1754
F,Skylar,1750
F,Delilah,1740
F,Julianna,1735
F,Kelsey,1716
F,Khloe,1714
F,Carly,1685
F,Mariana,1682
F,Amaya,1679
F,Christina,1677
F,Eliana,1665
F,Alondra,1661
F,Tessa,1658
F,Bianca,1652
F,Clara,1651
F,Vivian,1639
F,Jazmin,1638
F,Josephine,1634
F,Elena,1625
F,Delaney,1622
F,Scarlett,1621
F,Cadence,1612
F,Alexia,1609
F,Maggie,1607
F,Laura,1593
F,Nora,1559
F,Ariel,1553
F,Elise,1549
F,Nadia,1540
F,Hope,1537
F,Mckenna,1522
F,Chelsea,1518
F,Lyla,1507
F,Alaina,1504
F,Jasmin,1503
F,Leila,1498
F,Caitlyn,1490
F,Cassidy,1489
F,Eden,1483
F,Makenna,1474
F,Callie,1471
F,Haylee,1468
F,Izabella,1467
F,Allie,1463
F,Caitlin,1459
F,Kendra,1449
F,Karina,1444
F,Kyra,1443
F,Kayleigh,1434
F,Jazmine,1431
F,Addyson,1429
F,Kiara,1423
F,Karla,1420
F,Camryn,1415
F,Kyla,1411
F,Lola,1410
F,Alina,1407
F,Kelly,1399
F,Fatima,1391
F,Tiffany,1376
F,Kira,1370
F,Crystal,1367
F,Mallory,1354
F,Eleanor,1342
F,Jayda,1342
F,Esmeralda,1340
F,Kara,1338
F,Angelica,1337
F,Abby,1332
F,Veronica,1330
F,Alejandra,1329
F,Carmen,1312
F,Jamie,1308
F,Valentina,1291
F,Ryleigh,1289
F,Dakota,1287
F,Esther,1280
F,Allyson,1275
F,Kamryn,1270
F,Courtney,1267
F,Cecilia,1259
F,Madeleine,1252
F,Aniya,1248
F,Heaven,1248
F,Alison,1247
F,Leilani,1230
F,Nina,1228
F,Aubree,1227
F,Lindsey,1227
F,Melody,1220
F,Macy,1215
F,Ashlynn,1207
F,Joanna,1194
F,Cassandra,1184
F,Alayna,1177
F,Aurora,1174
F,Kaydence,1174
F,Madilyn,1168
F,Heidi,1167
F,Emerson,1163
F,Kimora,1145
F,Madalyn,1144
F,Katelynn,1138
F,Josie,1134
F,Erica,1132
F,Harper,1128
F,Lexi,1127
F,Guadalupe,1124
F,Ivy,1122
F,Camille,1108
F,Savanna,1102
F,Miriam,1100
F,Lucia,1099
F,Daniella,1096
F,Dulce,1095
F,Emely,1092
F,Kiley,1089
F,Joselyn,1086
F,Kailey,1083
F,Cynthia,1076
F,Rihanna,1075
F,Georgia,1072
F,Harmony,1071
F,Kiera,1069
F,Bethany,1065
F,Kyleigh,1064
F,Monica,1064
F,Rylie,1063
F,Kaylie,1056
F,Cameron,1052
F,Teagan,1045
F,Ciara,1041
F,Cora,1041
F,Genevieve,1041
F,Brynn,1039
F,Eliza,1028
F,Tatiana,1028
F,Alice,1025
F,April,1022
F,Maddison,1022
F,Erika,1017
F,Jaelyn,1014
F,Ximena,1012
F,Marely,1005
F,Julie,994
F,Danica,991
F,Presley,989
F,Brielle,983
F,Julissa,977
F,Angie,975
F,Rose,974
F,Iris,972
F,Brenda,968
F,Hazel,967
F,Malia,967
F,Fiona,964
F,Shayla,964
F,Phoebe,959
F,Selena,957
F,Paola,954
F,Kaelyn,949
F,Nayeli,947
F,Rebekah,946
F,Audrina,931
F,Janiyah,929
F,Ruth,928
F,Carolina,925
F,Michaela,922
F,Penelope,919
F,Anastasia,918
F,Sasha,916
F,Janiya,914
F,Adeline,910
F,Holly,907
