gender,name,frequency
F,Lisa,49535
F,Michelle,33222
F,Kimberly,31907
F,Jennifer,26852
F,Melissa,21729
F,Mary,21721
F,Angela,20673
F,Tammy,20061
F,Karen,19560
F,Susan,19504
F,Laura,18742
F,Kelly,17140
F,Amy,17092
F,Christine,16522
F,Patricia,15802
F,Julie,15753
F,Elizabeth,14886
F,Tina,14773
F,Cynthia,14055
F,Pamela,14030
F,Dawn,13442
F,Lori,13125
F,Stephanie,12953
F,Donna,12749
F,Tracy,12742
F,Sandra,12683
F,Deborah,12288
F,Linda,11370
F,Michele,11218
F,Teresa,10914
F,Wendy,10709
F,Sharon,10338
F,Rebecca,10226
F,Brenda,9942
F,Denise,9876
F,Barbara,9741
F,Cheryl,9139
F,Debra,9097
F,Nancy,8960
F,Kathleen,8728
F,Maria,8383
F,Rhonda,8268
F,Robin,8182
F,Christina,8016
F,Paula,7638
F,Jill,7520
F,Theresa,7307
F,Andrea,7089
F,Carol,7079
F,Jacqueline,6745
F,Diane,6585
F,Sherry,6431
F,Shannon,6402
F,Ann,6178
F,Stacey,6148
F,Catherine,6129
F,Kim,6090
F,Gina,6043
F,Sheila,5730
F,Tonya,5662
F,Carolyn,5538
F,Heather,5501
F,Margaret,5440
F,Stacy,5384
F,Renee,5354
F,Leslie,5282
F,Cindy,5238
F,Monica,5219
F,Suzanne,5040
F,Dana,5013
F,Diana,4993
F,Tracey,4930
F,Janet,4838
F,Beth,4765
F,Katherine,4715
F,Kathy,4676
F,Valerie,4550
F,Sarah,4489
F,Laurie,4340
F,Tamara,4308
F,Regina,4294
F,Victoria,4286
F,Terri,4267
F,Kristin,4134
F,Lynn,4103
F,Carrie,3979
F,Connie,3954
F,Anne,3914
F,Heidi,3911
F,Melinda,3815
F,Carla,3813
F,Rachel,3726
F,Yolanda,3697
F,Melanie,3643
F,Sherri,3641
F,April,3622
F,Jodi,3597
F,Shelly,3595
F,Anna,3569
F,Kathryn,3560
F,Colleen,3485
F,Annette,3470
F,Holly,3421
F,Deanna,3415
F,Kristine,3411
F,Tanya,3402
F,Kristen,3243
F,Nicole,3083
F,Anita,3046
F,Janice,3044
F,Debbie,3019
F,Veronica,3013
F,Julia,2989
F,Vicki,2977
F,Wanda,2965
F,Bonnie,2953
F,Sonya,2817
F,Crystal,2753
F,Sheri,2718
F,Jamie,2688
F,Darlene,2658
F,Beverly,2590
F,Martha,2581
F,Penny,2575
F,Yvonne,2573
F,Alicia,2569
F,Traci,2556
F,Joyce,2496
F,Shelley,2483
F,Sara,2456
F,Virginia,2456
F,Amanda,2432
F,Danielle,2406
F,Cathy,2400
F,Marie,2375
F,Samantha,2335
F,Kelli,2321
F,Kristi,2312
F,Cassandra,2303
F,Judith,2292
F,Judy,2269
F,Carmen,2268
F,Gloria,2257
F,Yvette,2211
F,Toni,2193
F,Jane,2192
F,Tara,2186
F,Maureen,2176
F,Ruth,2148
F,Shirley,2142
F,Christy,2139
F,Kristina,2135
F,Betty,2132
F,Joanne,2132
F,Peggy,2112
F,Ellen,2102
F,Dorothy,2086
F,Jean,2079
F,Rita,2075
F,Tammie,2063
F,Becky,2055
F,Vickie,2007
F,Charlotte,2003
F,Sylvia,1963
F,Rose,1952
F,Charlene,1947
F,Felicia,1935
F,Kelley,1918
F,Jody,1912
F,Joy,1904
F,Natalie,1887
F,Sheryl,1886
F,Helen,1884
F,Erin,1864
F,Kimberley,1856
F,Belinda,1850
F,Jessica,1840
F,Tiffany,1831
F,Kellie,1805
F,Gail,1802
F,Vanessa,1797
F,Joan,1783
F,Jeanette,1752
F,Shawn,1751
F,Frances,1742
F,Kerry,1735
F,Alice,1731
F,Monique,1711
F,Elaine,1706
F,Joann,1676
F,Tami,1659
F,Evelyn,1645
F,Sabrina,1638
F,Loretta,1627
F,Leah,1616
F,Jackie,1584
F,Eileen,1579
F,Marilyn,1577
F,Sonia,1568
F,Ronda,1557
F,Norma,1550
F,Allison,1536
F,Lora,1514
F,Kari,1512
F,Karla,1504
F,Roberta,1491
F,Katrina,1463
F,Bridget,1454
F,Tracie,1450
F,Leigh,1426
F,Audrey,1424
F,Jeanne,1424
F,Shari,1419
F,Robyn,1415
F,Caroline,1412
F,Sally,1403
F,Sandy,1398
F,Terry,1398
F,Shelia,1358
F,Juanita,1357
F,Rosa,1347
F,Sonja,1339
F,Trina,1334
F,Lorraine,1330
F,Emily,1326
F,Jo,1325
F,Lara,1295
F,Angie,1294
F,Lynette,1286
F,Melody,1282
F,Dina,1247
F,Teri,1243
F,Gwendolyn,1241
F,Kerri,1238
F,Cheri,1232
F,Ginger,1191
F,Candace,1179
F,Irene,1172
F,Lee,1160
F,Darla,1152
F,Tonia,1148
F,Marcia,1143
F,Lauren,1140
F,Marsha,1128
F,Lynda,1115
F,Dianne,1111
F,Dianna,1109
F,Kirsten,1107
F,Marla,1105
F,Vicky,1089
F,Phyllis,1087
F,Adrienne,1078
F,Stacie,1078
F,Kristy,1063
F,Eva,1051
F,Deana,1049
F,Krista,1049
F,Rochelle,1049
F,Ramona,1040
F,Christie,1039
F,Joanna,1035
F,Constance,1033
F,Doris,1022
F,Jacquelyn,1021
F,Dena,1020
F,Molly,1020
F,Roxanne,1016
F,Sherrie,1012
F,Jana,1011
F,Marlene,1004
F,Alisa,999
F,Glenda,998
F,Audra,995
F,Claudia,994
F,Kristie,989
F,Sue,979
F,Staci,974
F,Karin,971
F,Antoinette,964
