gender,name,frequency
F,Lisa,56037
F,Mary,41544
F,Susan,33994
F,Karen,32485
F,Linda,27726
F,Donna,25400
F,Patricia,25375
F,Lori,23904
F,Sandra,21625
F,Cynthia,21589
F,Kimberly,21227
F,Tammy,21195
F,Deborah,21050
F,Pamela,20588
F,Brenda,19607
F,Laura,18511
F,Barbara,18292
F,Teresa,17964
F,Sharon,17798
F,Elizabeth,17598
F,Debra,17336
F,Julie,16303
F,Nancy,16270
F,Cheryl,15046
F,Robin,14433
F,Michelle,14385
F,Denise,14093
F,Kathleen,13541
F,Christine,13387
F,Angela,13279
F,Diane,13194
F,Kelly,12548
F,Carol,12493
F,Kathy,12217
F,Tina,12156
F,Jennifer,11758
F,Cindy,11088
F,Theresa,11038
F,Kim,10681
F,Janet,10666
F,Debbie,10440
F,Paula,10150
F,Maria,9842
F,Rebecca,9391
F,Rhonda,9354
F,Margaret,9308
F,Laurie,9273
F,Tracy,9073
F,Sherry,9064
F,Sheila,8704
F,Jacqueline,8561
F,Dawn,8416
F,Catherine,8295
F,Amy,8228
F,Connie,8166
F,Carolyn,8122
F,Ann,7975
F,Terri,7705
F,Michele,7512
F,Wendy,7333
F,Melissa,7319
F,Diana,7310
F,Janice,7071
F,Stephanie,6822
F,Suzanne,6820
F,Beth,6676
F,Cathy,6318
F,Jill,6303
F,Valerie,6175
F,Judy,6136
F,Annette,6047
F,Leslie,5856
F,Lynn,5826
F,Renee,5775
F,Jane,5765
F,Wanda,5592
F,Anita,5472
F,Sherri,5457
F,Gina,5337
F,Anne,5329
F,Beverly,5280
F,Carla,5266
F,Bonnie,5226
F,Joyce,5223
F,Darlene,5155
F,Penny,5127
F,Katherine,5125
F,Dana,5049
F,Andrea,5012
F,Martha,4886
F,Judith,4742
F,Regina,4710
F,Kathryn,4702
F,Sarah,4571
F,Joan,4561
F,Gloria,4536
F,Jean,4482
F,Colleen,4446
F,Shirley,4384
F,Vicki,4360
F,Melanie,4267
F,Anna,4255
F,Virginia,4215
F,Betty,4153
F,Peggy,4104
F,Gail,4103
F,Christina,4024
F,Maureen,4010
F,Marie,4005
F,Monica,3995
F,Tamara,3980
F,Ellen,3943
F,Ruth,3871
F,Joanne,3857
F,Rita,3807
F,Dorothy,3796
F,Shelly,3790
F,Tracey,3700
F,Rose,3697
F,Vickie,3634
F,Melinda,3576
F,Julia,3570
F,Terry,3523
F,Helen,3338
F,Marilyn,3314
F,Becky,3307
F,Stacey,3303
F,Sylvia,3281
F,Stacy,3262
F,Phyllis,3246
F,Victoria,3245
F,Holly,3135
F,Deanna,3122
F,Elaine,3122
F,Sheryl,3105
F,Sheri,3094
F,Yvonne,3073
F,Alice,3067
F,Veronica,3014
F,Eileen,2938
F,Heidi,2938
F,Jackie,2821
F,Carrie,2817
F,Jeanne,2803
F,Sandy,2801
F,Frances,2745
F,Sally,2745
F,Shelley,2734
F,Charlene,2729
F,Belinda,2687
F,Joann,2654
F,Toni,2621
F,Charlotte,2595
F,Lorraine,2593
F,Sue,2592
F,Crystal,2580
F,Yolanda,2579
F,Jeanette,2568
F,Evelyn,2566
F,Jamie,2549
F,Loretta,2507
F,Sara,2486
F,Norma,2457
F,Shari,2454
F,Darla,2391
F,Pam,2384
F,Tonya,2368
F,Carmen,2346
F,Roberta,2323
F,Yvette,2284
F,Gwendolyn,2258
F,Tammie,2246
F,Alicia,2215
F,Lynne,2201
F,April,2195
F,Patty,2193
F,Jo,2189
F,Joy,2181
F,Rachel,2178
F,Marcia,2157
F,Doris,2125
F,Melody,2094
F,Heather,2090
F,Tami,2079
F,Shelia,2063
F,Shannon,2053
F,Glenda,2052
F,Vanessa,2032
F,Karla,2008
F,Natalie,1994
