gender,name,frequency
F,Emily,25692
F,Emma,22716
F,Madison,20201
F,Hannah,17638
F,Olivia,16152
F,Abigail,15932
F,Alexis,14867
F,Ashley,14519
F,Elizabeth,14122
F,Samantha,13869
F,Isabella,13781
F,Sarah,13781
F,Grace,12781
F,Alyssa,12750
F,Lauren,11051
F,Kayla,10956
F,Brianna,10584
F,Jessica,10452
F,Taylor,10314
F,Sophia,9686
F,Anna,9458
F,Victoria,9251
F,Natalie,9151
F,Chloe,9081
F,Sydney,8911
F,Hailey,8798
F,Jasmine,8065
F,Rachel,7994
F,Morgan,7928
F,Megan,7800
F,Jennifer,7568
F,Kaitlyn,7547
F,Julia,7437
F,Haley,7198
F,Katherine,7125
F,Mia,7083
F,Destiny,6977
F,Alexandra,6545
F,Ava,6280
F,Nicole,6235
F,Savannah,6154
F,Maria,6090
F,Brooke,5971
F,Ella,5908
F,Mackenzie,5865
F,Allison,5850
F,Paige,5758
F,Jordan,5650
F,Stephanie,5602
F,Faith,5596
F,Makayla,5580
F,Kylie,5558
F,Kaylee,5452
F,Jenna,5352
F,Amanda,5351
F,Trinity,5129
F,Zoe,5086
F,Katelyn,5054
F,Mary,5036
F,Andrea,4982
F,Madeline,4975
F,Michelle,4873
F,Rebecca,4868
F,Kimberly,4825
F,Sara,4763
F,Gabrielle,4600
F,Alexa,4597
F,Caroline,4585
F,Lily,4434
F,Vanessa,4352
F,Angelina,4271
F,Riley,4243
F,Sierra,4242
F,Amber,4123
F,Autumn,4058
F,Lillian,4029
F,Gabriella,4021
F,Audrey,3998
F,Jada,3987
F,Erin,3926
F,Leah,3925
F,Danielle,3864
F,Isabel,3853
F,Maya,3849
F,Ariana,3834
F,Arianna,3796
F,Jocelyn,3718
F,Evelyn,3701
F,Avery,3687
F,Aaliyah,3673
F,Leslie,3639
F,Claire,3571
F,Melanie,3550
F,Shelby,3537
F,Marissa,3517
F,Melissa,3501
F,Sofia,3487
F,Bailey,3466
F,Molly,3403
F,Jacqueline,3400
F,Jade,3393
F,Gabriela,3361
F,Courtney,3348
F,Angela,3320
F,Breanna,3271
F,Catherine,3231
F,Katie,3209
F,Diana,3149
F,Christina,3116
F,Isabelle,3113
F,Amelia,3096
F,Daniela,3076
F,Mariah,3073
F,Briana,3059
F,Madelyn,2985
F,Mya,2953
F,Kathryn,2948
F,Brooklyn,2924
F,Angel,2891
F,Amy,2880
F,Adriana,2838
F,Kennedy,2774
F,Alexandria,2752
F,Laura,2750
F,Kelly,2736
F,Gracie,2723
F,Lydia,2643
F,Margaret,2625
F,Ana,2594
F,Kelsey,2569
F,Alicia,2542
F,Lindsey,2540
F,Alexia,2495
F,Cheyenne,2475
F,Jillian,2425
F,Daisy,2410
F,Sabrina,2397
F,Mikayla,2393
F,Ashlyn,2368
F,Cassandra,2334
F,Karen,2331
F,Caitlin,2311
F,Gianna,2311
F,Skylar,2305
F,Nevaeh,2300
F,Lizbeth,2275
F,Tiffany,2258
F,Natalia,2256
F,Mckenzie,2251
F,Cassidy,2235
F,Sophie,2231
F,Angelica,2213
F,Summer,2211
F,Kylee,2197
F,Jordyn,2190
F,Kendall,2183
F,Juliana,2129
F,Miranda,2118
F,Erica,2092
F,Caitlyn,2079
F,Kate,2055
F,Bianca,2054
F,Naomi,2052
F,Abby,2048
F,Kyla,2023
F,Crystal,2018
F,Rylee,2018
F,Alondra,1999
F,Karina,1976
F,Jamie,1924
F,Valerie,1913
F,Hope,1897
F,Kiara,1876
F,Hayley,1867
F,Delaney,1856
F,Chelsea,1838
F,Veronica,1835
F,Erika,1818
F,Karla,1779
F,Giselle,1772
F,Amaya,1769
F,Charlotte,1763
F,Carly,1762
F,Aubrey,1757
F,Valeria,1736
F,Julianna,1734
F,Ellie,1728
F,Maggie,1718
F,Sadie,1707
F,Ruby,1706
F,Addison,1704
F,Peyton,1700
F,Mckenna,1695
F,Meghan,1695
F,Layla,1687
F,Jazmin,1676
F,Alejandra,1667
F,Jasmin,1664
F,Cynthia,1662
F,Jayla,1661
F,Reagan,1657
F,Esmeralda,1652
F,Alana,1621
F,Bethany,1619
F,Payton,1619
F,Heather,1617
F,Monica,1613
F,Nadia,1580
F,Brittany,1578
F,Makenzie,1578
F,Adrianna,1554
F,Hanna,1549
F,Ariel,1548
F,Eva,1518
F,Desiree,1505
F,Haylee,1504
F,Rebekah,1503
F,Genesis,1493
F,Macy,1483
F,Lucy,1475
F,Zoey,1469
F,Elena,1464
F,Kyra,1459
F,Vivian,1453
F,Makenna,1451
F,Jaden,1448
F,Shannon,1447
F,Brenda,1442
F,Kristen,1437
F,Mallory,1429
F,Raven,1428
F,Elise,1419
F,Alison,1413
F,Serenity,1413
F,Diamond,1400
F,Aliyah,1392
F,Michaela,1380
F,Asia,1369
F,Kara,1356
F,Nina,1356
F,Fatima,1354
F,Julie,1352
F,Jayden,1347
F,Liliana,1346
F,Guadalupe,1331
F,Kailey,1331
F,Savanna,1318
F,Jazmine,1314
F,Allyson,1306
F,Laila,1306
F,Claudia,1303
F,Joanna,1303
F,Mariana,1297
F,Carmen,1291
F,Serena,1277
F,Camille,1275
F,Katelynn,1273
F,Josephine,1257
F,Kendra,1235
F,Lindsay,1229
F,Holly,1227
F,Carolina,1215
F,Heaven,1192
F,Kaitlin,1191
F,Lilly,1188
F,Sandra,1180
F,Jadyn,1179
F,Nancy,1179
F,Selena,1179
F,Anastasia,1175
F,Cecilia,1162
F,Cindy,1160
F,Paris,1160
F,Katrina,1142
F,Tatiana,1134
F,Skyler,1132
F,Alaina,1126
F,April,1118
F,Kirsten,1116
F,Miriam,1112
F,Tessa,1112
F,Perla,1108
F,Esther,1096
F,Kathleen,1096
F,Annika,1089
F,Wendy,1087
F,Kira,1084
F,Priscilla,1080
F,Cierra,1076
F,Kayleigh,1072
F,Brynn,1067
F,Annabelle,1063
F,Alissa,1062
F,Clara,1058
F,Cameron,1042
F,Brenna,1036
F,Tori,1035
F,Celeste,1034
F,Kristina,1034
F,Camila,1033
F,Bridget,1029
F,Yesenia,1026
F,Melody,1023
F,Emilee,1019
F,Josie,1018
F,Kassandra,1016
F,Patricia,1011
F,Eleanor,1007
F,Shayla,999
F,Camryn,998
F,Harley,997
F,Reese,996
F,Casey,987
F,Ashlynn,979
F,Heidi,978
F,Aniya,976
F,Bella,974
F,Allie,972
F,Bryanna,972
F,Rachael,971
F,Natasha,970
F,Daniella,968
F,Britney,967
F,Madeleine,963
F,Ashanti,962
F,Denise,957
F,Shania,955
F,Imani,954
F,Paola,952
F,Sidney,951
F,Kiana,949
F,Mercedes,949
F,Marisa,945
F,Eliza,944
F,Christine,942
F,Tara,927
F,Annie,924
F,Halle,919
F,Callie,917
F,Dakota,916
F,Alayna,910
F,Eden,904
F,Piper,902
F,Ruth,896
F,Leila,893
F,Nia,893
F,Eliana,890
F,Kaylie,889
F,Alivia,888
F,Aniyah,886
F,Fiona,885
F,Logan,885
F,Leilani,883
F,Yasmin,873
F,Talia,871
F,Julissa,867
F,Emely,855
F,Rose,854
F,Ashleigh,852
F,Hailee,850
F,Kiley,850
F,Ayanna,847
F,Meredith,840
F,Lesly,839
F,Cristina,836
F,Lauryn,834
F,Nora,830
F,Sasha,827
F,Jayda,826
F,Alexus,814
F,Lacey,812
F,Lisa,811
