gender,name,frequency
F,Mary,64390
F,Linda,61282
F,Deborah,52197
F,Patricia,51021
F,Susan,44298
F,Barbara,38475
F,Debra,36855
F,Nancy,30618
F,Karen,29858
F,Pamela,25757
F,Sandra,25500
F,Cynthia,25138
F,Donna,24225
F,Kathleen,23732
F,Sharon,23041
F,Carol,22292
F,Diane,21350
F,Brenda,20124
F,Janet,17771
F,Margaret,16196
F,Elizabeth,16098
F,Janice,14627
F,Kathy,13400
F,Rebecca,12961
F,Carolyn,12918
F,Joyce,12796
F,Judy,12736
F,Cheryl,12265
F,Shirley,12148
F,Judith,11968
F,Denise,11950
F,Christine,11792
F,Betty,11370
F,Beverly,11240
F,Catherine,10848
F,Marilyn,10741
F,Joan,9774
F,Gloria,9678
F,Gail,9586
F,Paula,9557
F,Martha,9263
F,Teresa,8933
F,Jane,8913
F,Peggy,8762
F,Bonnie,8614
F,Ann,8579
F,Connie,8575
F,Kathryn,8324
F,Dorothy,8162
F,Theresa,7715
F,Laura,7628
F,Jean,7571
F,Virginia,7546
F,Jo,7513
F,Diana,7439
F,Cathy,7300
F,Wanda,7205
F,Jacqueline,7131
F,Rose,7004
F,Sheila,6964
F,Vicki,6821
F,Ruth,6582
F,Katherine,6559
F,Rita,6284
F,Helen,6123
F,Robin,6039
F,Lynn,5998
F,Maria,5991
F,Phyllis,5962
F,Sherry,5935
F,Joanne,5890
F,Frances,5786
F,Alice,5741
F,Julie,5668
F,Darlene,5591
F,Ellen,5537
F,Elaine,5495
F,Suzanne,5472
F,Vickie,5296
F,Anne,5256
F,Sally,5183
F,Victoria,5164
F,Marsha,5132
F,Marcia,5061
F,Rhonda,5029
F,Marie,4955
F,Doris,4900
F,Valerie,4591
F,Anita,4408
F,Roberta,4299
F,Lois,4221
F,Maureen,4112
F,Sarah,4085
F,Evelyn,4064
F,Constance,4029
F,Leslie,3905
F,Jeanne,3853
F,Anna,3837
F,Cindy,3825
F,Charlotte,3814
F,Sylvia,3812
F,Michele,3723
F,Laurie,3686
F,Yvonne,3686
F,Glenda,3655
F,Sue,3648
F,Michelle,3631
F,Eileen,3629
F,Dianne,3616
F,Wendy,3616
F,Lisa,3603
F,Gwendolyn,3518
F,Charlene,3504
F,Jill,3389
F,Colleen,3377
F,Jennifer,3375
F,Terry,3374
F,Lorraine,3309
F,Debbie,3208
F,Angela,3185
F,Joann,3171
F,Norma,3168
F,Stephanie,3081
F,Julia,2974
F,Louise,2964
F,Claudia,2858
F,Irene,2800
F,Marlene,2767
F,Carla,2760
F,Terri,2725
F,Andrea,2720
F,Regina,2712
F,Juanita,2708
F,Renee,2694
F,Geraldine,2673
F,Gayle,2666
F,Loretta,2666
F,Dawn,2640
F,Jeanette,2609
F,Jan,2607
F,Patsy,2591
F,Annie,2564
F,Beth,2564
F,Marjorie,2545
F,Annette,2485
F,Kay,2462
F,Rosemary,2432
F,Sheryl,2399
F,Vivian,2358
F,Ruby,2343
F,Amy,2306
F,Joy,2306
F,Lynda,2306
F,Arlene,2305
F,June,2264
F,Delores,2171
F,Penny,2153
F,Sara,2078
F,Lynne,2041
F,Patti,2033
F,Rosa,2023
F,Toni,2020
F,Melissa,2007
F,Vanessa,2007
F,Dolores,1978
F,Mildred,1942
F,Audrey,1940
F,Shelley,1937
F,Janis,1864
F,Vicky,1861
F,Yolanda,1808
F,Josephine,1799
F,Lori,1792
F,Belinda,1789
F,Rachel,1780
F,Melinda,1773
F,Christina,1772
F,Paulette,1763
F,Roxanne,1763
F,Candace,1753
F,Georgia,1743
F,Kim,1739
F,Jacquelyn,1737
F,Jackie,1728
F,Carmen,1725
F,Lillian,1657
F,Marianne,1650
F,Carole,1635
F,Becky,1627
F,Edna,1614
F,Veronica,1614
F,Esther,1613
F,Monica,1600
F,Eva,1592
F,Emma,1591
F,Sherri,1583
F,Janie,1579
F,Pauline,1570
F,Holly,1566
F,Lucy,1565
F,Lydia,1560
F,Edith,1527
F,Lucille,1495
F,Shelia,1484
F,Ramona,1455
F,Margie,1451
F,Wilma,1435
F,Lou,1434
F,Kimberly,1428
F,Melanie,1423
F,Dianna,1399
F,Clara,1383
F,Grace,1383
F,Priscilla,1379
F,Nina,1375
F,Gladys,1369
F,Marian,1366
F,Bonita,1354
F,Billie,1333
F,Emily,1325
F,Bobbie,1316
