gender,name,frequency
F,Mary,66178
F,Barbara,43433
F,Patricia,39622
F,Linda,38441
F,Carol,31685
F,Sandra,25989
F,Judith,25214
F,Sharon,24713
F,Nancy,23987
F,Betty,21595
F,Carolyn,20366
F,Shirley,17815
F,Judy,17383
F,Margaret,17154
F,Karen,16817
F,Joyce,16487
F,Donna,14913
F,Susan,14888
F,Dorothy,14793
F,Janet,13316
F,Joan,13230
F,Kathleen,12153
F,Elizabeth,11644
F,Diane,11326
F,Virginia,10846
F,Janice,10651
F,Marilyn,10144
F,Helen,9799
F,Martha,9705
F,Gloria,9684
F,Frances,9448
F,Beverly,9435
F,Ruth,9369
F,Bonnie,8870
F,Brenda,8436
F,Jean,8096
F,Ann,7829
F,Alice,7648
F,Phyllis,7609
F,Doris,7127
F,Peggy,6511
F,Carole,6506
F,Lois,6132
F,Jane,6031
F,Marie,5979
F,Elaine,5965
F,Charlotte,5483
F,Catherine,5427
F,Joanne,5267
F,Rose,5207
F,Geraldine,5190
F,Rita,5011
F,Evelyn,4911
F,Pamela,4839
F,Gail,4810
F,Wanda,4705
F,Sally,4658
F,Norma,4542
F,Connie,4512
F,Joann,4463
F,Patsy,4355
F,Diana,4337
F,Jo,4300
F,Anna,4233
F,Jacqueline,4189
F,Roberta,4169
F,Ellen,4152
F,Eileen,4092
F,Annie,4070
F,Louise,4044
F,Sarah,3989
F,Sue,3850
F,Darlene,3774
F,Dolores,3698
F,Kathryn,3647
F,Mildred,3627
F,Sylvia,3623
F,Katherine,3616
F,Marjorie,3608
F,Anne,3535
F,Kay,3492
F,Ruby,3470
F,Glenda,3403
F,Christine,3314
F,Irene,3299
F,Suzanne,3280
F,Rebecca,3270
F,Dianne,3193
F,Loretta,3169
F,Arlene,3145
F,Juanita,3085
F,Sheila,3063
F,Paula,3042
F,Lorraine,3015
F,Julia,2973
F,Marcia,2969
F,Rosemary,2967
F,Anita,2951
F,Delores,2931
F,Theresa,2929
F,Cynthia,2894
F,Cheryl,2878
F,Maria,2863
F,Marlene,2857
F,Maureen,2760
F,Edna,2753
F,Eleanor,2729
F,Josephine,2664
F,Jeanette,2555
F,Constance,2554
F,June,2491
F,Pauline,2459
F,Emma,2423
F,Jeanne,2423
F,Lynda,2412
F,Lillian,2393
F,Laura,2391
F,Edith,2380
F,Georgia,2379
F,Wilma,2377
F,Charlene,2354
F,Vivian,2320
F,Sherry,2314
F,Florence,2273
F,Lucille,2248
F,Ethel,2217
F,Thelma,2210
F,Margie,2148
F,Marion,2124
F,Grace,2122
F,Gladys,2113
F,Marsha,2100
F,Clara,2083
F,Lynn,2065
F,Maryann,2050
F,Kathy,2033
F,Sara,2020
F,Billie,1994
F,Willie,1994
F,Audrey,1943
F,Yvonne,1942
F,Annette,1916
F,Bernice,1890
F,Hazel,1852
F,Pat,1840
F,Priscilla,1833
F,Bobbie,1803
F,Eva,1803
F,Marian,1793
F,Bertha,1788
F,Esther,1758
F,Beatrice,1756
F,Maxine,1754
F,Rosa,1681
F,Ella,1664
F,Julie,1624
F,Joy,1610
F,Lillie,1595
F,Claudia,1584
F,Deanna,1573
